item	subtype	subsubtype	optionality	response
AAA battery	-	-	"casing: F
positive terminal: F
negative terminal: F
cathode: F
anode: F
separator: F"	"1. casing: metal or plastic
2. positive terminal: metal
3. negative terminal: metal
4. cathode: metal oxide and carbon
5. anode: zinc and/or lithium
6. separator: paper or synthetic fabric"
AC adapter	Wall-mount AC adapter	-	"housing: F
internal mechanism: F
plug blades: F
power jack: F"	"1. housing: plastic
2. internal mechanism: electronics, metal
3. plug blades: metal
4. power jack: metal and plastic"
AC adapter	External AC adapter	-	"housing: F
internal mechanism: F
power cord: F
plug blades: F
power jack: F"	"1. housing: plastic
2. internal mechanism: electronics and metal
3. power cord: copper and rubber or plastic insulation
4. plug blades: metal
5. power jack: metal and plastic"
AC adapter	Universal AC adapter	-	"housing: F
internal mechanism: F
plug blades: F
adjustable voltage selector: F
multiple power jacks: F"	"1. housing: plastic
2. internal mechanism: electronics
3. plug blades: metal
4. adjustable voltage selector: plastic and metal
5. multiple power jacks: metal and plastic"
Abacus	-	-	"frame: F
rods or wires: F
beads: F"	"1. frame: wood or plastic
2. rods or wires: metal or plastic
3. beads: wood, plastic, or metal"
Access badge	-	-	"body: F
magnetic stripe: T
radio-frequency identification chip: T
barcode: T"	"1. body: plastic or composites
2. magnetic stripe: magnetic material and plastic
3. radio-frequency identification chip: electronics
4. barcode: ink and plastic"
Accordion	Piano accordion	-	"body: F
bellows: F
piano keys: F
bass buttons: F
reed blocks: F"	"1. body: wood, plastic, and/or metal
2. bellows: paper, cloth, and leather
3. piano keys: plastic or ivory
4. bass buttons: plastic, metal, or pearl
5. reed blocks: wood"
Accordion	Button accordion	-	"body: F
bellows: F
button keys: F
bass buttons: F
reed blocks: F"	"1. body: wood or plastic
2. bellows: paper, cardboard, and cloth
3. button keys: plastic or metal
4. bass buttons: plastic or metal
5. reed blocks: wood and metal"
Accordion	Diatonic button accordion	-	"body: F
bellows: F
diatonic button keys: F
bass buttons: T
reed blocks: F"	"1. body: wood or plastic
2. bellows: paper, cardboard, and leather
3. diatonic button keys: plastic or metal
4. bass buttons: plastic or metal
5. reed blocks: wood and metal"
Accordion	Chromatic button accordion	-	"body: F
bellows: F
chromatic button keys: F
bass buttons: F
reed blocks: F"	"1. body: wood or plastic
2. bellows: paper and leather or fabric
3. chromatic button keys: plastic or metal
4. bass buttons: plastic or metal
5. reed blocks: wood and metal"
Accordion	Bayan	-	"body: F
bellows: F
chromatic button keys: F
bass buttons: F
reed blocks: F
converter switch: T"	"1. body: wood, plastic, and/or metal
2. bellows: leather and/or paper
3. chromatic button keys: plastic or metal
4. bass buttons: plastic or metal
5. reed blocks: wood and metal
6. converter switch: metal"
Accordion	Concertina	-	"body: F
bellows: F
button keys: F
reed blocks: F
hand straps: F"	"1. body: wood or metal
2. bellows: paper and cloth
3. button keys: plastic or metal
4. reed blocks: wood and metal
5. hand straps: leather"
Acoustic guitar	-	-	"body: F
neck: F
headstock: F
tuning pegs: F
frets: F
strings: F
bridge: F
saddle: F
nut: F"	"1. body: wood
2. neck: wood
3. headstock: wood
4. tuning pegs: metal
5. frets: metal
6. strings: nylon or steel
7. bridge: wood
8. saddle: bone or plastic
9. nut: bone or plastic"
Adapter	-	-	"body: F
input connector: F
output connector: F
internal mechanism: T"	"1. body: plastic or metal
2. input connector: metal
3. output connector: metal
4. internal mechanism: electronics and metal"
Adhesive bandage	Standard adhesive bandage	-	"backing: F
adhesive: F
pad: F"	"1. backing: plastic or fabric
2. adhesive: pressure-sensitive adhesive
3. pad: cotton and/or rayon"
Adhesive bandage	Butterfly adhesive bandage	-	"wings: F
adhesive: F
pad: F"	"1. wings: plastic or fabric
2. adhesive: latex or silicon
3. pad: cotton or plastic film"
Adhesive bandage	Liquid adhesive bandage	-	-: F	acrylic resin or cyanoacrylate
Adjustable spanner	Open-end adjustable wrench	-	"handle: F
jaw: F
worm gear: F"	"1. handle: metal
2. jaw: metal
3. worm gear: metal"
Adjustable spanner	Adjustable box-end wrench	-	"handle: F
enclosed head: F
worm gear: F"	"1. handle: metal
2. enclosed head: metal
3. worm gear: metal"
