Item	Annotator	Non-physical entity	Subtype (or '-')	Part1 (or '-')	Optional1	Uniform materials	Predicate1	Conjunction1 (or '-')	Proper materials1	Found materials1	Inferred materials1	Part2	Optional2	Predicate2	Conjunction2 (or '-')	Proper materials2	Found materials2	Inferred materials2	Part3	Optional3	Predicate3	Conjunction3 (or '-')	Proper materials3	Found materials3	Inferred materials3	Part4	Optional4	Predicate4	Conjunction4 (or '-')	Proper materials4	Found materials4	Inferred materials4	Part5	Optional5	Predicate5	Conjunction5 (or '-')	Proper materials5	Found materials5	Inferred materials5	Part6	Optional6	Predicate6	Conjunction6 (or '-')	Proper materials6	Found materials6	Inferred materials6	Part7	Optional7	Predicate7	Conjunction7 (or '-')	Proper materials7	Found materials7	Inferred materials7	Part8	Optional8	Predicate8	Conjunction8 (or '-')	Proper materials8	Found materials8	Inferred materials8	Part9	Optional9	Predicate9	Conjunction9 (or '-')	Proper materials9	Found materials9	Inferred materials9	Part10	Optional10	Predicate10	Conjunction10 (or '-')	Proper materials10	Found materials10	Inferred materials10	Part11	Optional11	Predicate11	Conjunction11 (or '-')	Proper materials11	Found materials11	Inferred materials11	Part12	Optional12	Predicate12	Conjunction12 (or '-')	Proper materials12	Found materials12	Inferred materials12	Part13	Optional13	Predicate13	Conjunction13 (or '-')	Proper materials13	Found materials13	Inferred materials13
Buzzer	Len		electromechanical buzzer	* casing *			usually made of	-			plastic	* internal mechanism *		partially made of	-			magnetic material	electric bell		is made of	-		metal		contacts		are made of	-		metal																																																																
Buzzer	Len		piezoelectric buzzer	* casing *			usually made of	-			plastic	* internal mechanism *		partially made of	-			piezoelectric material																																																																													
Buzzer	Len		Joy buzzer	disk		x	usually made of	-			metal	spring							button																																																																												
Weather vane	Len		-	rod		x	usually made of	-			metal	arrow or figurine	x						directionals							anemometer	x																																																																				
Glove (ice hockey)	Len		skaters' gloves	* palm *			usually made of	-			leather	back		usually made of	and/or			leather, kevlar 	fingers		usually made of	and/or			leather, kevlar	padding		usually made of	-			foam																																																															
Glove (ice hockey)	Len		Blocker (ice hockey)	* palm *			usually made of	-	leather			back		usually made of	and/or	leather		kevlar	fingers		usually made of	and/or	leather		kevlar	padding		usually made of	-			high-density foam	forearm pad		usually made of	-			high-density foam																																																								
Glove (ice hockey)	Len		Trapper (ice hockey)	palm			usually made of	-			leather	back		usually made of	and/or			leather, kevlar	fingers		usually made of	and/or			leather, kevlar	padding		usually made of	-			foam	* cuff *		usually made of	and/or			leather, kevlar	pocket		usually made of	and/or			leather, kevlar	* inner glove *		* entity *																																														
Bumper cars	Len		-	body			usually made of	or	fiberglass		thermoplastic olefins	* seats *		* entity *					steering wheel		* entity *					accelerator		* entity *					* wheels *		* entity *					contact shoe		made of	-		metal		pole		made of	-		metal		bumper		made of	-	rubber			* internal mechanism *		* entity *																																
CD-ROM	Len		-	disc			made of	-	polycarbonate plastic			surface layer		usually made of	-	aluminum																																																																															
Quill	Len		-	nib		x	made from	-	feather			shaft							barbs																																																																												
Golf cart	Len		-	* body *			made of	or			metal, fiberglass	wheels		usually made of	and			metal, rubber	seats		* entity *					control		* entity *					* internal mechanism *		* entity *																																																												
Marker pen	Len		-	container			usually made of	or	glass, aluminum, plastic			tip or nib		usually made of	or	felt, synthetic fibers, porous ceramics			marker reservoir		* entity *					core		made of	-	absorbent material			ink		made of	and	dye, solvent																																																										
Saucer	Len		-	-			usually made of	-			ceramic material																																																																																				
Oil platform	Len		Fixed platform	deck			made of	and/or	steel, concrete			legs		made of	and/or	steel, concrete			storage tanks	x	usually made of	-	steel			production facility		* entity *					crew quarters		* entity *					drilling rigs		* entity *																																																					
Oil platform	Len		Compliant tower	deck			made of	and/or		steel, concrete		compliant towers		made of	and/or		steel, concrete		piled foundation		usually made of	-		concrete		production facility		* entity *					crew quarters		* entity *					drilling rigs		* entity *																																																					
Oil platform	Len		Tension-leg platform	deck			made of	and/or		steel, concrete		tension legs		made of	-		steel tethers		hull		* entity *					production wellheads		* entity *					crew quarters		* entity *					seabed anchors		* entity *																																																					
Oil platform	Len		Semi-submersible platform	deck			made of	and/or	steel	concrete		cables		made of	-	steel			pontoons		* entity *					structural columns		* entity *					anchor leg	x	* entity *					crew quarters		* entity *					drill rigs		* entity *					ballast		made of	-	water			production facility	x	* entity *																																
Oil platform	Len		Spar (platform)																																																																																												
Spar (platform)	Len		conventional spar platform	hull			made of	or		steel, concrete		mooring system		made of	and/or	polyester	steel		drilling rigs		* entity *					crew quarters		* entity *					ballast tanks		* entity *					heavy ballast		* entity *																																																					
Spar (platform)	Len		truss spar platform	buoyant tank			* entity *					mooring system		made of	and/or	polyester	steel		truss structure		made of	-		steel		heavy ballast		* entity *					ballast tank		* entity *					crew quarters		* entity *					drilling rigs		* entity *																																														
Spar (platform)	Len		cell spar platform	multiple cylinders			usually made of	-		steel		mooring system		made of	and/or	polyester	steel		ballast		* entity *					crew quarters		* entity *					drilling rigs		* entity *					* counterweight *		* entity *																																																					
Oil platform	Len		Jackup rig	hull			usually made of	-		steel		legs		made of	-		steel		rack-and-pinion gear systems		* entity *					crew quarters		* entity *					drilling rigs		* entity *																																																												
Oil platform	Len		Drillship	drillship vessel			* entity *					drilling equipment		* entity *					dynamic positioning system		* entity *					crew quarters		* entity *					anchor mooring array		* entity *					propulsion engines	x	* entity *																																																					
Oil platform	Len		Floating production storage and offloading	monohull			usually made of	-		steel		processing facilities		* entity *					storage facility		* entity *					crew quarters		* entity *																																																																			
Oil platform	Len		Gravity-based structure	platform			* entity *					ballast compartments		* entity *					support structure		made of	or	steel, steel-reinforced concrete																																																																								
Oil platform	Len		Normally unmanned installation	well bay			made of	-		steel		helipad		* entity *					emergency shelter		* entity *					drilling rigs		* entity *																																																																			
Pea coat	Len		sailor's pea coat	front		x	usually made of	-	wool			lapels							* collar *							* back *							* sleeves *							pockets							buttons		made of	or	wood, metal, plastic																																												
Pea coat	Len		bridge coat	front		x	usually made of	-	wool			lapels							* collar *							* back *							* sleeves *							pockets							buttons		made of	-	golden metal																																												
Pea coat	Len		reefer jacket	front		x	usually made of	-	wool			lapels							* collar *							* back *							* sleeves *							pockets							buttons		made of	-	golden metal			epaulettes																																									
Facial tissue	Len		-	-			made of	-	absorbent paper																																																																																						
